Level	Rule Name	Subject	Property	Value
ERROR	multiple_labels	IAO:0000424	rdfs:label	expand expression to@en	
ERROR	multiple_labels	RO:0000053	rdfs:label	bearer of	
ERROR	multiple_labels	RO:0000053	rdfs:label	bearer of@en	
ERROR	multiple_labels	RO:0001015	rdfs:label	location of@en	
ERROR	multiple_labels	RO:0001015	rdfs:label	location_of	
ERROR	multiple_labels	RO:0001025	rdfs:label	located in@en	
ERROR	multiple_labels	RO:0001025	rdfs:label	located_in	
ERROR	multiple_labels	RO:0002087	rdfs:label	immediately preceded by@en	
ERROR	multiple_labels	RO:0002087	rdfs:label	immediately_preceded_by	
ERROR	multiple_labels	RO:0002131	rdfs:label	overlaps	
ERROR	multiple_labels	RO:0002131	rdfs:label	overlaps@en	
ERROR	multiple_labels	RO:0002180	rdfs:label	has component	
ERROR	multiple_labels	RO:0002180	rdfs:label	has component@en	
ERROR	multiple_labels	RO:0002202	rdfs:label	develops from@en	
ERROR	multiple_labels	RO:0002202	rdfs:label	develops_from	
ERROR	multiple_labels	RO:0002203	rdfs:label	develops into@en	
ERROR	multiple_labels	RO:0002203	rdfs:label	develops_into	
ERROR	multiple_labels	RO:0002215	rdfs:label	capable of	
ERROR	multiple_labels	RO:0002215	rdfs:label	capable of@en	
ERROR	multiple_labels	RO:0002216	rdfs:label	capable of part of	
ERROR	multiple_labels	RO:0002216	rdfs:label	capable of part of@en	
ERROR	multiple_labels	RO:0002254	rdfs:label	has developmental contribution from	
ERROR	multiple_labels	RO:0002254	rdfs:label	has developmental contribution from@en	
ERROR	multiple_labels	RO:0002255	rdfs:label	developmentally contributes to@en	
ERROR	multiple_labels	RO:0002255	rdfs:label	developmentally_contributes_to	
ERROR	multiple_labels	RO:0002258	rdfs:label	developmentally preceded by	
ERROR	multiple_labels	RO:0002258	rdfs:label	developmentally preceded by@en	
ERROR	multiple_labels	RO:0002328	rdfs:label	functionally related to	
ERROR	multiple_labels	RO:0002328	rdfs:label	functionally related to@en	
ERROR	multiple_labels	RO:0002329	rdfs:label	part of structure that is capable of	
ERROR	multiple_labels	RO:0002329	rdfs:label	part of structure that is capable of@en	
ERROR	multiple_labels	RO:0002352	rdfs:label	input of	
ERROR	multiple_labels	RO:0002352	rdfs:label	input of@en	
ERROR	multiple_labels	RO:0002385	rdfs:label	has potential to developmentally contribute to	
ERROR	multiple_labels	RO:0002385	rdfs:label	has potential to developmentally contribute to@en	
ERROR	multiple_labels	RO:0002387	rdfs:label	has potential to develop into	
ERROR	multiple_labels	RO:0002387	rdfs:label	has potential to develop into@en	
ERROR	multiple_labels	RO:0002388	rdfs:label	has potential to directly develop into	
ERROR	multiple_labels	RO:0002388	rdfs:label	has potential to directly develop into@en	
ERROR	multiple_labels	RO:0002500	rdfs:label	causal agent in	
ERROR	multiple_labels	RO:0002500	rdfs:label	causal agent in process	
ERROR	multiple_labels	RO:0002608	rdfs:label	has causal agent	
ERROR	multiple_labels	RO:0002608	rdfs:label	process has causal agent	
ERROR	multiple_labels	UBERON:0004461	rdfs:label	musculature of head	
ERROR	multiple_labels	UBERON:0004461	rdfs:label	skeletal musculature of head	
WARN	annotation_whitespace	186c21d3990f40c8be415291fe893d04	oboInOwl:source	DOI:10.1146/annurev.cellbio.22.010605.093317 Hartenstein V, Blood cells and blood cell development in the animal kingdom. Annual review of cell and developmental biology (2006) 	
WARN	annotation_whitespace	CL:0011115	rdfs:comment	Work is needed on GO 'cell differentiation' before it is clear whether the equivalent class definition 'native cell' that capable_of some 'cell differentiation' works. Also, may want to consider merging this with non-terminally differentiated cell. 	
WARN	annotation_whitespace	RO:0001018	IAO:0000116	Intended meaning:    domain: material entity    range: spatial region or site (immaterial continuant)            @en	
WARN	annotation_whitespace	RO:0002215	IAO:0000115	A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. 	
WARN	equivalent_pair	CL:0000000	owl:equivalentClass	GO:0005623	
WARN	multiple_asserted_superclasses	CARO:0000006	rdfs:subClassOf	BFO:0000040	
WARN	multiple_asserted_superclasses	CARO:0000006	rdfs:subClassOf	CARO:0000000	
WARN	multiple_asserted_superclasses	CL:0000000	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	CL:0000000	rdfs:subClassOf	GO:0005575	
WARN	multiple_asserted_superclasses	CL:0000003	rdfs:subClassOf	CL:0000000	
WARN	multiple_asserted_superclasses	CL:0000003	rdfs:subClassOf	GO:0005623	
WARN	multiple_asserted_superclasses	CL:0000031	rdfs:subClassOf	CL:0000047	
WARN	multiple_asserted_superclasses	CL:0000031	rdfs:subClassOf	CL:0000055	
WARN	multiple_asserted_superclasses	CL:0000037	rdfs:subClassOf	CL:0000723	
WARN	multiple_asserted_superclasses	CL:0000037	rdfs:subClassOf	CL:0008001	
WARN	multiple_asserted_superclasses	CL:0000040	rdfs:subClassOf	CL:0000763	
WARN	multiple_asserted_superclasses	CL:0000047	rdfs:subClassOf	CL:0002319	
WARN	multiple_asserted_superclasses	CL:0000048	rdfs:subClassOf	CL:0000034	
WARN	multiple_asserted_superclasses	CL:0000048	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0000051	rdfs:subClassOf	CL:0011115	
WARN	multiple_asserted_superclasses	CL:0000075	rdfs:subClassOf	CL:0000066	
WARN	multiple_asserted_superclasses	CL:0000075	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0000115	rdfs:subClassOf	CL:0000213	
WARN	multiple_asserted_superclasses	CL:0000115	rdfs:subClassOf	CL:0002078	
WARN	multiple_asserted_superclasses	CL:0000129	rdfs:subClassOf	CL:0000878	
WARN	multiple_asserted_superclasses	CL:0000134	rdfs:subClassOf	CL:0000048	
WARN	multiple_asserted_superclasses	CL:0000134	rdfs:subClassOf	CL:0000219	
WARN	multiple_asserted_superclasses	CL:0000234	rdfs:subClassOf	CL:0000219	
WARN	multiple_asserted_superclasses	CL:0000234	rdfs:subClassOf	CL:0000325	
WARN	multiple_asserted_superclasses	CL:0000234	rdfs:subClassOf	CL:0000473	
WARN	multiple_asserted_superclasses	CL:0000235	rdfs:subClassOf	CL:0000234	
WARN	multiple_asserted_superclasses	CL:0000333	rdfs:subClassOf	CL:0000219	
WARN	multiple_asserted_superclasses	CL:0000333	rdfs:subClassOf	CL:0011012	
WARN	multiple_asserted_superclasses	CL:0000339	rdfs:subClassOf	CL:0000030	
WARN	multiple_asserted_superclasses	CL:0000339	rdfs:subClassOf	CL:0000123	
WARN	multiple_asserted_superclasses	CL:0000349	rdfs:subClassOf	CL:0000548	
WARN	multiple_asserted_superclasses	CL:0000349	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0000402	rdfs:subClassOf	CL:0000117	
WARN	multiple_asserted_superclasses	CL:0000540	rdfs:subClassOf	CL:0000000	
WARN	multiple_asserted_superclasses	CL:0000540	rdfs:subClassOf	CL:0000393	
WARN	multiple_asserted_superclasses	CL:0000540	rdfs:subClassOf	CL:0000404	
WARN	multiple_asserted_superclasses	CL:0000540	rdfs:subClassOf	CL:0002319	
WARN	multiple_asserted_superclasses	CL:0000557	rdfs:subClassOf	CL:0000763	
WARN	multiple_asserted_superclasses	CL:0000557	rdfs:subClassOf	CL:0001012	
WARN	multiple_asserted_superclasses	CL:0000557	rdfs:subClassOf	CL:0011115	
WARN	multiple_asserted_superclasses	CL:0000557	rdfs:subClassOf	CL:1001610	
WARN	multiple_asserted_superclasses	CL:0000559	rdfs:subClassOf	CL:0000763	
WARN	multiple_asserted_superclasses	CL:0000576	rdfs:subClassOf	CL:0000842	
WARN	multiple_asserted_superclasses	CL:0000576	rdfs:subClassOf	CL:0011115	
WARN	multiple_asserted_superclasses	CL:0000617	rdfs:subClassOf	CL:0000161	
WARN	multiple_asserted_superclasses	CL:0000617	rdfs:subClassOf	CL:0000540	
WARN	multiple_asserted_superclasses	CL:0000679	rdfs:subClassOf	CL:0000161	
WARN	multiple_asserted_superclasses	CL:0000679	rdfs:subClassOf	CL:0000540	
WARN	multiple_asserted_superclasses	CL:0000710	rdfs:subClassOf	CL:0000075	
WARN	multiple_asserted_superclasses	CL:0000710	rdfs:subClassOf	CL:0002077	
WARN	multiple_asserted_superclasses	CL:0000723	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0000738	rdfs:subClassOf	CL:0000219	
WARN	multiple_asserted_superclasses	CL:0000766	rdfs:subClassOf	CL:0000763	
WARN	multiple_asserted_superclasses	CL:0000838	rdfs:subClassOf	CL:0011115	
WARN	multiple_asserted_superclasses	CL:0000839	rdfs:subClassOf	CL:0011115	
WARN	multiple_asserted_superclasses	CL:0000842	rdfs:subClassOf	CL:0000226	
WARN	multiple_asserted_superclasses	CL:0000842	rdfs:subClassOf	CL:0002087	
WARN	multiple_asserted_superclasses	CL:0000878	rdfs:subClassOf	CL:0002319	
WARN	multiple_asserted_superclasses	CL:0000988	rdfs:subClassOf	CL:0000548	
WARN	multiple_asserted_superclasses	CL:0000988	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0001021	rdfs:subClassOf	CL:0000995	
WARN	multiple_asserted_superclasses	CL:0001026	rdfs:subClassOf	CL:0000995	
WARN	multiple_asserted_superclasses	CL:0001026	rdfs:subClassOf	CL:0001059	
WARN	multiple_asserted_superclasses	CL:0001027	rdfs:subClassOf	CL:0001012	
WARN	multiple_asserted_superclasses	CL:0001059	rdfs:subClassOf	CL:0000049	
WARN	multiple_asserted_superclasses	CL:0001059	rdfs:subClassOf	CL:0011115	
WARN	multiple_asserted_superclasses	CL:0002009	rdfs:subClassOf	CL:0000763	
WARN	multiple_asserted_superclasses	CL:0002009	rdfs:subClassOf	CL:0011115	
WARN	multiple_asserted_superclasses	CL:0002076	rdfs:subClassOf	CL:0000066	
WARN	multiple_asserted_superclasses	CL:0002076	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0002077	rdfs:subClassOf	CL:0000066	
WARN	multiple_asserted_superclasses	CL:0002077	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0002078	rdfs:subClassOf	CL:0000066	
WARN	multiple_asserted_superclasses	CL:0002078	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0002319	rdfs:subClassOf	CL:0000548	
WARN	multiple_asserted_superclasses	CL:0002319	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0002320	rdfs:subClassOf	CL:0000548	
WARN	multiple_asserted_superclasses	CL:0002494	rdfs:subClassOf	CL:0000548	
WARN	multiple_asserted_superclasses	CL:0002540	rdfs:subClassOf	CL:0000134	
WARN	multiple_asserted_superclasses	CL:0002540	rdfs:subClassOf	CL:0002092	
WARN	multiple_asserted_superclasses	CL:0002605	rdfs:subClassOf	CL:0012000	
WARN	multiple_asserted_superclasses	CL:0002605	rdfs:subClassOf	CL:1001579	
WARN	multiple_asserted_superclasses	CL:0002609	rdfs:subClassOf	CL:0010012	
WARN	multiple_asserted_superclasses	CL:0002609	rdfs:subClassOf	CL:0012001	
WARN	multiple_asserted_superclasses	CL:0010004	rdfs:subClassOf	CL:0000842	
WARN	multiple_asserted_superclasses	CL:0010004	rdfs:subClassOf	CL:1001610	
WARN	multiple_asserted_superclasses	CL:0010008	rdfs:subClassOf	CL:0000115	
WARN	multiple_asserted_superclasses	CL:0010008	rdfs:subClassOf	CL:0002494	
WARN	multiple_asserted_superclasses	CL:0010011	rdfs:subClassOf	CL:0000402	
WARN	multiple_asserted_superclasses	CL:0010011	rdfs:subClassOf	CL:0002609	
WARN	multiple_asserted_superclasses	CL:0010011	rdfs:subClassOf	CL:0011005	
WARN	multiple_asserted_superclasses	CL:0010020	rdfs:subClassOf	CL:0000125	
WARN	multiple_asserted_superclasses	CL:0010020	rdfs:subClassOf	CL:0002494	
WARN	multiple_asserted_superclasses	CL:0010022	rdfs:subClassOf	CL:0000540	
WARN	multiple_asserted_superclasses	CL:0010022	rdfs:subClassOf	CL:0002494	
WARN	multiple_asserted_superclasses	CL:0011005	rdfs:subClassOf	CL:0000099	
WARN	multiple_asserted_superclasses	CL:0011005	rdfs:subClassOf	CL:0000617	
WARN	multiple_asserted_superclasses	CL:0011012	rdfs:subClassOf	CL:0000048	
WARN	multiple_asserted_superclasses	CL:0011012	rdfs:subClassOf	CL:0002321	
WARN	multiple_asserted_superclasses	CL:0012000	rdfs:subClassOf	CL:2000005	
WARN	multiple_asserted_superclasses	CL:1001602	rdfs:subClassOf	CL:0000115	
WARN	multiple_asserted_superclasses	CL:1001602	rdfs:subClassOf	CL:0002319	
WARN	multiple_asserted_superclasses	CL:1001610	rdfs:subClassOf	CL:0000988	
WARN	multiple_asserted_superclasses	CL:1001610	rdfs:subClassOf	CL:0002092	
WARN	multiple_asserted_superclasses	GO:0002573	rdfs:subClassOf	GO:0002521	
WARN	multiple_asserted_superclasses	GO:0002573	rdfs:subClassOf	GO:0030099	
WARN	multiple_asserted_superclasses	GO:0005623	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	GO:0005623	rdfs:subClassOf	GO:0005575	
WARN	multiple_asserted_superclasses	GO:0005634	rdfs:subClassOf	GO:0043231	
WARN	multiple_asserted_superclasses	GO:0005634	rdfs:subClassOf	GO:0044464	
